analysis_id,027r5454e3607tx
parameter_name,Left outer nuclear layer
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_070_001
pvalue,0.1549889
gene_symbol,Ppp3r2
gene_accession_id,MGI:107171
