gene_accession_id,MGI:1913790
gene_symbol,Fam107b
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_026_001_010
pvalue,5.686925e-07
parameter_name,Mouth morphology
analysis_id,04835r73s9d4uxx
