parameter_id,JAX_LDT_009_001
mouse_strain,C50BL
gene_accession_id,MGI:1921722
gene_symbol,Stpg3
analysis_id,0p0eq1e37dl6exa
pvalue,0.7959031
mouse_life_stage,Early adult
parameter_name,Percent time in light
