pvalue,0.488487
analysis_id,2i9858dv60hreca
parameter_id,IMPC_DXA_005_001
gene_accession_id,MGI:1913790
parameter_name,Bone Mineral Content (excluding skull)
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Fam107b
