mouse_strain,C57BL
parameter_name,Bone Mineral Content (excluding skull)
mouse_life_stage,Early adult
analysis_id,1244ds6x93c14gx
pvalue,0.5395488
gene_accession_id,MGI:107191
parameter_id,IMPC_DXA_005_001
gene_symbol,BMPR1B
