mouse_strain,C57BL
analysis_id,1b5c2f6336j508m
gene_accession_id,MGI:1922776
parameter_id,IMPC_IMM_028_002
pvalue,0.5702068
gene_symbol,Eppin
parameter_name,Effector CD4+ T helper cells - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
