gene_symbol,Eif2s2
parameter_id,IMPC_GEP_022_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Embryo Size
analysis_id,174j8170d58ei7m
gene_accession_id,MGI:1914454
pvalue,0.8734209
