gene_symbol,Tox2
mouse_life_stage,Early adult
analysis_id,0dh5z3577087q0m
parameter_name,PP1 startle magnitude
pvalue,0.4955616
mouse_strain,C57BL
parameter_id,ESLIM_011_001_002
gene_accession_id,MGI:3611233
