mouse_strain,C57BL
parameter_name,Hindbrain morphology
pvalue,0.5272446
gene_accession_id,MGI:1919880
mouse_life_stage,Early adult
analysis_id,0kt5dr0h5s4584x
gene_symbol,Hspa12b
parameter_id,IMPC_GEM_069_001
