analysis_id,19tu0b5ex24a8bx
parameter_name,Mandibles
gene_symbol,Heyl
mouse_strain,C57BL
parameter_id,CCP_XRY_004_001
gene_accession_id,MGI:1860511
mouse_life_stage,Early adult
pvalue,0.561857
