gene_accession_id,MGI:97324
gene_symbol,Nhlh2
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,UCDLA_CSD_012_001
pvalue,0.2582658
parameter_name,Coat - hair distribution - head
analysis_id,101sfuuhf4lybla
