mouse_strain,C57BL
pvalue,0.2329561
gene_symbol,Bltp1
gene_accession_id,MGI:2444631
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_070_001
parameter_name,Left outer nuclear layer
analysis_id,1717m5924be7ylx
