gene_accession_id,MGI:2140050
gene_symbol,Ints3
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_GEO_019_001
pvalue,0.5993076
parameter_name,Embryo Size
analysis_id,0034yrl724hagpm
