mouse_strain,C57BL
pvalue,0.2812017
parameter_id,ESLIM_011_001_001
analysis_id,0f6783cv3934j8a
gene_accession_id,MGI:1914199
gene_symbol,Trim59
mouse_life_stage,Early adult
parameter_name,BN startle magnitude
