pvalue,0.1453685
mouse_life_stage,E9.5
gene_accession_id,MGI:1916413
parameter_id,IMPC_HEM_037_001
parameter_name,Basophil cell count
analysis_id,0lp94fr5q1r750x
mouse_strain,C57BL
gene_symbol,Mrpl44
