gene_symbol,Jade1
mouse_life_stage,Early adult
analysis_id,2fas53t0301b18a
parameter_name,Delayed embryonic development
parameter_id,IMPC_GEL_063_001
pvalue,0.438599
mouse_strain,C57BL
gene_accession_id,MGI:1925835
