mouse_life_stage,Early adult
gene_symbol,Spc25
gene_accession_id,MGI:1913692
analysis_id,273meqlm4x95d7a
parameter_id,MGP_MLN_014_001
pvalue,0.2503542
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_strain,C57BL
