mouse_strain,C57BL
analysis_id,10mjm99fdh94knx
parameter_name,Ventral coat/hair colour pattern
gene_accession_id,MGI:3606212
parameter_id,MGP_CSD_027_001
gene_symbol,Rbbp8nl
mouse_life_stage,Early adult
pvalue,0.1315181
