analysis_id,1864ayc9yc4iy6a
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_014_001
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
gene_symbol,Slc24a5
pvalue,0.4841956
gene_accession_id,MGI:2677271
