mouse_life_stage,Early adult
pvalue,0.1388028
mouse_strain,C57BL
gene_symbol,Sdc4
parameter_id,CCP_XRY_062_001
gene_accession_id,MGI:1349164
parameter_name,Polysyndactylism
analysis_id,128ob98j383opta
