mouse_strain,C57BL
parameter_id,ESLIM_011_001_002
parameter_name,PP1 startle magnitude
analysis_id,11cr8h23bj3i8vx
gene_accession_id,MGI:2685195
mouse_life_stage,Early adult
gene_symbol,ZBTB34
pvalue,0.9337051
