analysis_id,015r27o89nu19om
pvalue,0.7364502
parameter_id,IMPC_GEP_011_002
mouse_life_stage,Early adult
gene_accession_id,MGI:104899
parameter_name,Hemorrhage
gene_symbol,Mob4
mouse_strain,C57BL
