pvalue,0.3785204
mouse_strain,C57BL
parameter_name,Creatinine
parameter_id,IMPC_CBC_005_001
mouse_life_stage,Early adult
analysis_id,146mdtzmvoh3qyx
gene_accession_id,MGI:97565
gene_symbol,Pgm1
