analysis_id,0cj05s4933b07wa
pvalue,0.7430174
gene_symbol,Map7d1
mouse_strain,C57BL
gene_accession_id,MGI:2384297
parameter_id,IMPC_CSD_007_001
parameter_name,Coat - color - abdomen
mouse_life_stage,E9.5
