mouse_strain,C57BL
parameter_id,MGP_CSD_008_001
analysis_id,254vebf8pc5295a
mouse_life_stage,Early adult
pvalue,0.9496556
gene_accession_id,MGI:1921735
gene_symbol,Lrrc71
parameter_name,Startle response
