mouse_strain,C57BL
gene_symbol,Pgm1
pvalue,0.52135
gene_accession_id,MGI:97565
analysis_id,03g5lk92a1f37vm
mouse_life_stage,Early adult
parameter_id,M-G-P_026_001_003
parameter_name,Coat intact
