parameter_id,MGP_IMM_108_001
gene_accession_id,MGI:1278321
pvalue,0.6509706
mouse_life_stage,Early adult
gene_symbol,Epc2
parameter_name,Marginal zone B cells - % of CD45+
mouse_strain,C57BL
analysis_id,07cqp1q3i6k701m
