parameter_name,Right anterior chamber depth
pvalue,0.06327715
analysis_id,11wf3r5b694yb3a
gene_symbol,Bmpr1b
mouse_strain,C57BL
gene_accession_id,MGI:107191
parameter_id,IMPC_EYE_061_001
mouse_life_stage,Early adult
