analysis_id,27351z5x80q890a
parameter_id,IMPC_CBC_023_001
parameter_name,Alpha-amylase
mouse_strain,C57BL
pvalue,0.2790185
gene_symbol,Abca12
gene_accession_id,MGI:2676312
mouse_life_stage,Early adult
