gene_symbol,Ptma
pvalue,0.158321
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,0r4oed8c3efn7sa
gene_accession_id,MGI:97803
parameter_name,Percentage center time
parameter_id,JAX_OFD_022_001
