gene_accession_id,MGI:1918142
gene_symbol,Ttll7
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_058_001
pvalue,0.2557134
parameter_name,Heart morphology
analysis_id,0970c14h32zc7zx
