pvalue,0.7247845
gene_symbol,Coq3
mouse_life_stage,Early adult
parameter_name,Ventral coat/hair colour pattern
mouse_strain,C57BL
gene_accession_id,MGI:101813
parameter_id,MGP_CSD_027_001
analysis_id,06u61l960i4i65x
