analysis_id,079wh8tav077m7x
gene_accession_id,MGI:88015
pvalue,0.6604419
gene_symbol,Ampd1
parameter_name,Plasma cells - % of B2 cells
parameter_id,MGP_IMM_052_001
mouse_life_stage,E15.5
mouse_strain,C57BL
