pvalue,0.5902634
mouse_strain,C57BL
parameter_name,Spleen weight
gene_symbol,Abca12
mouse_life_stage,Early adult
gene_accession_id,MGI:2676312
parameter_id,IMPC_OWT_002_001
analysis_id,04kj8m4x3b343kx
