gene_symbol,Tpx2
gene_accession_id,MGI:1919369
pvalue,0.07876831
parameter_id,CCP_LDT_004_001
mouse_strain,C57BL
parameter_name,Dark side time spent
mouse_life_stage,E9.5
analysis_id,0ycfe223o555t3a
