gene_symbol,Cfap65
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,24s02g0dzw0e0ja
gene_accession_id,MGI:2444274
pvalue,0.4334
parameter_id,IMPC_CBC_017_001
parameter_name,Triglycerides
