parameter_id,ESLIM_008_001_002
gene_symbol,Lrat
pvalue,0.6846258
mouse_life_stage,Early adult
parameter_name,Tremor
gene_accession_id,MGI:1891259
mouse_strain,C57BL
analysis_id,29y8pu87nq9eyea
