parameter_id,ESLIM_021_001_005
mouse_strain,C57BL
parameter_name,HDL-cholesterol
analysis_id,13v37962jpbn17x
pvalue,0.8509901
mouse_life_stage,Early adult
gene_symbol,Mybpc3
gene_accession_id,MGI:102844
