mouse_life_stage,Early adult
gene_symbol,Lrrc71
gene_accession_id,MGI:1921735
parameter_id,IMPC_ABR_012_001
pvalue,0.296197
parameter_name,30kHz-evoked ABR Threshold
analysis_id,10928m2om0hyvnm
mouse_strain,C57BL
