parameter_name,Red blood cell count
pvalue,0.9677075
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ttll7
gene_accession_id,MGI:1918142
analysis_id,0x91hlor8j0s6aa
parameter_id,UCDLA_HEM_002_001
