mouse_life_stage,Early adult
parameter_name,Unexpected behaviors
gene_accession_id,MGI:1339755
mouse_strain,C57BL
parameter_id,IMPC_CSD_037_001
gene_symbol,Csf3r
analysis_id,0e41d108z6209zm
pvalue,0.3865084
