parameter_id,ESLIM_011_001_005
mouse_strain,C57BL
gene_symbol,Gm5148
pvalue,0.7920815
gene_accession_id,MGI:3646006
mouse_life_stage,Early adult
analysis_id,21w2x10erdwv24a
parameter_name,PP4 startle magnitude
