gene_accession_id,MGI:1915599
gene_symbol,Ndufs3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,CCP_XRY_020_001
pvalue,0.7155781
parameter_name,Processes on vertebrae
analysis_id,102193mrvc6dnga
