mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,14bgze2s07u46ra
parameter_name,Responsive to tactile stimuli
pvalue,0.1970049
gene_symbol,Sirpb1a
parameter_id,IMPC_GEP_005_002
gene_accession_id,MGI:2444824
