parameter_id,IMPC_CBC_003_001
mouse_life_stage,Early adult
gene_symbol,Bloc1s6
mouse_strain,C59BL
analysis_id,00ua48g0re4k03a
parameter_name,Chloride
pvalue,0.9700992
gene_accession_id,MGI:1927580
