parameter_id,IMPC_EYE_068_001
gene_symbol,Rbl1
mouse_strain,C57BL
pvalue,0.9166186
parameter_name,Left total retinal thickness
gene_accession_id,MGI:103300
mouse_life_stage,Early adult
analysis_id,16d4s582rg25bja
