parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
parameter_name,Light side time spent
gene_accession_id,MGI:3588216
pvalue,0.7405956
mouse_life_stage,Early adult
gene_symbol,Ube2u
analysis_id,07jj6grn0da587x
