analysis_id,024a218si76x63x
gene_accession_id,MGI:107341
mouse_strain,C57BL
gene_symbol,Ctss
pvalue,0.05792599
parameter_name,Right inner nuclear layer
parameter_id,IMPC_EYE_063_001
mouse_life_stage,Early adult
