parameter_id,IMPC_EYE_082_001
mouse_life_stage,Early adult
pvalue,0.6709086
analysis_id,1s08216916lpx1m
mouse_strain,C57BL
gene_symbol,Ndufs3
gene_accession_id,MGI:1915599
parameter_name,Iris transilumination
