mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Delayed embryonic development
gene_symbol,Dph6
pvalue,0.1409493
analysis_id,1207dqu5x09p40m
parameter_id,IMPC_GEM_075_001
gene_accession_id,MGI:1913882
