gene_accession_id,MGI:1919300
analysis_id,0z20520u5qy2uza
parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
parameter_name,Tibia length
pvalue,0.7400456
mouse_strain,C57BL
gene_symbol,Poglut2
