analysis_id,12k9w3p3l86pr6a
pvalue,0.8784945
parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
parameter_name,Percent time in dark
gene_accession_id,MGI:2385213
mouse_life_stage,Middle aged adult
gene_symbol,Pdik1l
