analysis_id,1py169t45z09f5a
mouse_strain,C57BL
gene_symbol,Cdh4
parameter_id,IMPC_OFD_009_001
parameter_name,Whole arena average speed
mouse_life_stage,Early adult
pvalue,0.6050016
gene_accession_id,MGI:99218
