mouse_life_stage,Early adult
pvalue,0.5002963
gene_accession_id,MGI:1095412
parameter_id,IMPC_ECG_006_001
analysis_id,0p6f8tln7p3u0ja
parameter_name,PR
mouse_strain,C57BL
gene_symbol,Unc5c
