parameter_name,Radius
gene_accession_id,MGI:98397
parameter_id,IMPC_XRY_022_001
analysis_id,1hcjsu701q6ue1m
gene_symbol,Src
mouse_life_stage,Early adult
pvalue,0.3940247
mouse_strain,129SV
