parameter_id,IMPC_XRY_016_001
gene_accession_id,MGI:1927753
parameter_name,Number of pelvic vertebrae
gene_symbol,Inpp5e
analysis_id,24t8lml7n10hb0a
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.9270647
