parameter_id,IMPC_XRY_063_001
gene_accession_id,MGI:2385213
gene_symbol,PDIK1L
mouse_life_stage,Middle aged adult
analysis_id,12bj79z2d3xb8bx
parameter_name,Cervical processes
mouse_strain,C57BL
pvalue,0.807811
