gene_symbol,Plekhf2
parameter_id,MGP_MLN_076_001
Pvalue,0.8316915
parameter_name,Naive CD8+ T cells - % of CD45+
Gene_accession_id,MGI:1919051
analysis_id,1225ni0y6w472cm
Mouse_strain,C57BL
Mouse_life_stage,Early adult
