mouse_life_stage,E9.5
parameter_id,IMPC_ABR_012_001
parameter_name,30kHz-evoked ABR Threshold
pvalue,0.6705067
analysis_id,1au474egzs58b1x
gene_symbol,Mob4
gene_accession_id,MGI:104899
mouse_strain,C57BL
