gene_accession_id,MGI:88015
gene_symbol,Ampd1
mouse_strain,C57BL
mouse_life_stage,E15.5
parameter_id,IMPC_GEL_060_001
pvalue,0.5647817
parameter_name,Neural tube morphology
analysis_id,0mo82376cexv7ja
