parameter_name,Potassium
mouse_life_stage,E9.5
gene_accession_id,MGI:1919369
pvalue,0.07177372
mouse_strain,C57BL
parameter_id,M-G-P_025_001_005
analysis_id,0jq7n557ozap58x
gene_symbol,Tpx2
