parameter_id,IMPC_HEM_027_001
parameter_name,Red blood cell distribution width
gene_symbol,Eppin
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.110921
analysis_id,06d94662b697njx
gene_accession_id,MGI:1922776
