mouse_life_stage,E15.5
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:1916987
pvalue,0.9511337
parameter_name,Lens Opacity
gene_symbol,Ttl
analysis_id,0jz37t250h4fw3x
mouse_strain,C57BL
