analysis_id,17d750450r2391m
gene_symbol,Fbxw2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1353435
parameter_name,Neural tube closure
pvalue,0.7120641
parameter_id,IMPC_GEL_027_001
